*WEATHER DATA: GGCMI

@ INSI      LAT     LONG  ELEV   TAV   AMP REFHT WNDHT
 GGCMI    -9.25    34.75   -99  22.2  13.8
@DATE  SRAD  TMIN  TMAX  RAIN
15001  22.9  15.7  24.6   3.7
15002  21.0  16.0  24.7  10.5
15003  19.3  16.0  24.0  11.2
15004  17.9  15.9  24.5  14.1
15005  12.1  16.5  22.4   7.3
15006  17.0  15.9  24.5   7.6
15007  21.3  15.8  25.7   5.6
15008  20.9  16.5  28.7   6.1
15009  16.2  16.2  24.9  12.1
15010  17.2  16.6  24.9  12.2
15011  16.0  17.0  24.7  16.9
15012  18.1  16.1  25.0   7.7
15013  21.1  16.1  25.6   5.8
15014  21.0  17.6  26.6   5.0
15015  15.9  16.9  24.8  11.4
15016  12.0  17.2  29.3   5.0
15017  18.4  16.3  25.3   7.9
15018  20.7  16.9  26.5   4.7
15019  23.1  15.4  27.3   7.8
15020  12.6  16.9  23.6   9.7
15021  13.8  16.7  22.8   9.1
15022  16.1  16.2  24.1   5.7
15023  13.3  16.4  21.6   6.5
15024  15.1  15.8  22.5   7.1
15025  16.0  15.8  22.9  24.6
15026  10.7  16.6  22.1   4.7
15027  17.1  15.3  23.6  12.3
15028  15.2  16.1  23.7   8.2
15029  17.3  16.2  25.0   8.6
15030  18.2  15.8  24.2   6.4
15031  23.9  15.8  25.2   2.2
15032  18.3  15.7  24.2   9.5
15033  16.5  16.1  25.5   9.0
15034  16.7  14.8  22.6  23.2
15035  12.8  15.6  22.2  10.1
15036  22.7  15.4  26.0   0.2
15037  23.4  14.7  26.5   0.3
15038  25.1  14.0  26.9   0.2
15039  19.6  15.2  25.8   5.6
15040  18.4  16.8  25.5  10.2
15041  14.7  17.0  24.0   7.2
15042   0.0  17.2  21.6  18.4
15043  12.5  16.8  22.9  12.3
15044  13.3  16.4  22.0  11.6
15045  18.6  15.8  27.6   8.3
15046  17.6  16.6  24.3   3.3
15047   9.7  16.7  21.0  15.4
15048  16.6  16.6  24.1   9.9
15049  17.6  15.2  24.1   6.8
15050  18.6  16.6  24.4  12.2
15051  15.5  16.3  24.0  12.3
15052  20.9  15.4  24.3   4.7
15053  15.2  16.5  24.6   7.9
15054  25.6  15.6  27.0   0.0
15055  20.9  14.7  25.1   8.4
15056  15.7  16.6  26.9  13.6
15057  15.2  16.6  22.9  37.6
15058  11.4  15.9  21.8  15.6
15059  17.3  16.0  23.4  16.3
15060  19.0  15.7  25.1  15.8
15061  21.9  14.6  26.5   0.7
15062  14.8  16.7  23.0  19.8
15063  19.2  16.9  24.1  16.0
15064  18.8  15.3  25.5  25.1
15065  25.8  13.3  27.1   0.0
15066  18.6  14.3  25.0   5.2
15067  17.8  16.0  25.0   8.6
15068  19.2  16.0  25.2   7.9
15069  20.9  15.1  24.9  10.8
15070  17.9  16.0  24.8   2.6
15071  19.3  15.3  25.1   0.7
15072  17.2  16.0  24.0   0.4
15073  21.8  14.0  25.8   0.0
15074  23.4  12.4  25.7   0.4
15075  23.1  12.7  26.0   0.6
15076  21.6  15.0  25.2  10.7
15077  15.3  16.2  24.2  21.7
15078  12.7  15.5  23.9  10.9
15079  22.4  15.0  26.2   0.6
15080  22.3  14.5  26.9   0.4
15081  22.7  13.3  25.9   0.0
15082  20.5  15.2  26.0   0.6
15083  17.1  16.0  23.7  15.9
15084  19.7  16.2  23.4  14.3
15085  18.5  15.0  25.2   5.2
15086  17.2  15.5  26.9  14.2
15087  17.1  16.2  25.4   9.3
15088  18.3  16.3  24.5  11.2
15089  20.8  15.4  24.4   0.8
15090  20.4  14.1  24.7   0.1
15091  21.5  12.8  25.8   0.0
15092  23.6  11.2  27.2   0.0
15093  19.2  16.3  25.3  13.4
15094  19.4  16.4  25.6   5.0
15095  16.3  16.4  25.6   9.2
15096  14.9  16.7  24.9  15.6
15097  15.0  16.5  23.6   0.0
15098  14.9  15.4  23.1   6.2
15099  16.2  14.3  23.8   7.4
15100  16.7  15.0  24.1   0.0
15101  21.9  13.4  25.0   0.0
15102  17.8  15.3  25.1   4.3
15103  17.1  15.6  24.0   5.6
15104  20.4  15.7  25.4   0.0
15105  15.6  15.4  24.2   4.9
15106  17.7  15.5  25.4   0.0
15107  18.6  14.0  25.3  10.2
15108  17.1  15.2  25.0   9.1
15109  19.3  16.7  25.1  17.4
15110  17.2  16.3  24.3  11.4
15111  15.5  15.7  23.4  13.3
15112  20.0  14.2  23.9   0.0
15113  17.9  13.9  24.3   0.0
15114  15.7  15.4  23.9   0.0
15115  11.6  15.0  22.3   8.9
15116  13.7  15.6  22.4  22.1
15117  10.5  15.5  22.1   0.0
15118  14.7  15.5  24.4   6.2
15119  17.4  14.3  24.8   2.2
15120  18.5  13.9  24.3   0.0
15121  17.4  15.4  22.8   0.0
15122  15.5  15.5  22.8  10.7
15123  17.2  15.6  23.4   0.0
15124  17.0  13.9  24.7   0.0
15125  22.0  12.1  25.9   0.0
15126  21.3  13.2  26.0   0.0
15127  23.0  12.1  26.0   0.0
15128  22.8  12.4  24.8   0.0
15129  20.0  11.5  24.1   0.0
15130  17.6  12.1  24.5   0.0
15131  21.6  12.9  25.3   0.0
15132  19.8  12.7  25.5   0.0
15133  20.8  11.5  26.1   0.0
15134  17.4  14.3  25.7   0.1
15135  19.6  13.5  25.7   0.0
15136  18.8  13.9  24.5   0.0
15137  17.5  12.4  24.7  13.5
15138  15.0  14.5  24.0   0.0
15139  18.5  14.2  24.1   0.0
15140  14.5  15.0  23.2   7.8
15141  16.2  15.7  22.7  18.6
15142   9.9  15.5  21.6  15.7
15143  14.8  15.4  22.3   8.8
15144  15.6  14.4  23.4   2.6
15145  15.9  14.7  22.5   4.5
15146  16.4  14.0  22.3   1.9
